body_length,observation_count,cap_degree,unique_permutations,budget,seed,sampled_permutations,sampled_min,sampled_max,sampled_range,sampled_exact_min,sampled_exact_max,sampled_exact_range,true_exhaustive_range,true_exhaustive_exact_range,absolute_error,exact_absolute_error,relative_error,sampled_extrema_matched_exact_extrema,exact_rational_arithmetic_used
8,4,4,495,64,71,64,33631038.0,58044680.4,24413642.4,33631038,290223402/5,122068212/5,27901305.6,139506528/5,3487663.2,17438316/5,0.125,False,True
8,4,4,495,64,101,64,38364295.2,58293799.2,19929504.0,191821476/5,291468996/5,19929504,27901305.6,139506528/5,7971801.6,39859008/5,0.285714285714,False,True
8,4,4,495,128,17,128,32136325.2,58293799.2,26157474.0,160681626/5,291468996/5,26157474,27901305.6,139506528/5,1743831.6,8719158/5,0.0625,False,True
8,4,4,495,128,29,128,32136325.2,58293799.2,26157474.0,160681626/5,291468996/5,26157474,27901305.6,139506528/5,1743831.6,8719158/5,0.0625,False,True
8,4,4,495,128,43,128,34876632.0,58293799.2,23417167.2,34876632,291468996/5,117085836/5,27901305.6,139506528/5,4484138.4,22420692/5,0.160714285714,False,True
8,4,4,495,128,71,128,33631038.0,58044680.4,24413642.4,33631038,290223402/5,122068212/5,27901305.6,139506528/5,3487663.2,17438316/5,0.125,False,True
8,4,4,495,128,101,128,30392493.6,58293799.2,27901305.6,151962468/5,291468996/5,139506528/5,27901305.6,139506528/5,0.0,0,0.0,True,True
8,4,4,495,256,17,256,32136325.2,58293799.2,26157474.0,160681626/5,291468996/5,26157474,27901305.6,139506528/5,1743831.6,8719158/5,0.0625,False,True
8,4,4,495,256,29,256,32136325.2,58293799.2,26157474.0,160681626/5,291468996/5,26157474,27901305.6,139506528/5,1743831.6,8719158/5,0.0625,False,True
8,4,4,495,256,43,256,30392493.6,58293799.2,27901305.6,151962468/5,291468996/5,139506528/5,27901305.6,139506528/5,0.0,0,0.0,True,True
8,4,4,495,256,71,256,33631038.0,58044680.4,24413642.4,33631038,290223402/5,122068212/5,27901305.6,139506528/5,3487663.2,17438316/5,0.125,False,True
8,4,4,495,256,101,256,30392493.6,58293799.2,27901305.6,151962468/5,291468996/5,139506528/5,27901305.6,139506528/5,0.0,0,0.0,True,True
8,4,4,495,512,17,495,30392493.6,58293799.2,27901305.6,151962468/5,291468996/5,139506528/5,27901305.6,139506528/5,0.0,0,0.0,True,True
8,4,4,495,512,29,495,30392493.6,58293799.2,27901305.6,151962468/5,291468996/5,139506528/5,27901305.6,139506528/5,0.0,0,0.0,True,True
8,4,4,495,512,43,495,30392493.6,58293799.2,27901305.6,151962468/5,291468996/5,139506528/5,27901305.6,139506528/5,0.0,0,0.0,True,True
8,4,4,495,512,71,495,30392493.6,58293799.2,27901305.6,151962468/5,291468996/5,139506528/5,27901305.6,139506528/5,0.0,0,0.0,True,True
8,4,4,495,512,101,495,30392493.6,58293799.2,27901305.6,151962468/5,291468996/5,139506528/5,27901305.6,139506528/5,0.0,0,0.0,True,True
8,4,4,495,1024,17,495,30392493.6,58293799.2,27901305.6,151962468/5,291468996/5,139506528/5,27901305.6,139506528/5,0.0,0,0.0,True,True
8,4,4,495,1024,29,495,30392493.6,58293799.2,27901305.6,151962468/5,291468996/5,139506528/5,27901305.6,139506528/5,0.0,0,0.0,True,True
8,4,4,495,1024,43,495,30392493.6,58293799.2,27901305.6,151962468/5,291468996/5,139506528/5,27901305.6,139506528/5,0.0,0,0.0,True,True
8,4,4,495,1024,71,495,30392493.6,58293799.2,27901305.6,151962468/5,291468996/5,139506528/5,27901305.6,139506528/5,0.0,0,0.0,True,True
8,4,4,495,1024,101,495,30392493.6,58293799.2,27901305.6,151962468/5,291468996/5,139506528/5,27901305.6,139506528/5,0.0,0,0.0,True,True
9,5,5,2002,8,17,8,10992615731.328,15107498625.408,4114882894.08,1374076966416/125,1888437328176/125,102872072352/25,8817606201.6,44088031008/5,4702723307.52,117568082688/25,0.533333333333,False,True
9,5,5,2002,8,29,8,12217283259.328,15107498625.408,2890215366.08,1527160407416/125,1888437328176/125,72255384152/25,8817606201.6,44088031008/5,5927390835.52,148184770888/25,0.672222222222,False,True
9,5,5,2002,8,43,8,9327067893.248,14911551820.928,5584483927.68,1165883486656/125,1863943977616/125,139612098192/25,8817606201.6,44088031008/5,3233122273.92,80828056848/25,0.366666666667,False,True
9,5,5,2002,8,71,8,10012881708.928,14813578418.688,4800696709.76,1251610213616/125,1851697302336/125,120017417744/25,8817606201.6,44088031008/5,4016909491.84,100422737296/25,0.455555555556,False,True
9,5,5,2002,8,101,8,11090589133.568,15793312441.088,4702723307.52,1386323641696/125,1974164055136/125,117568082688/25,8817606201.6,44088031008/5,4114882894.08,102872072352/25,0.466666666667,False,True
9,5,5,2002,16,17,16,10992615731.328,15107498625.408,4114882894.08,1374076966416/125,1888437328176/125,102872072352/25,8817606201.6,44088031008/5,4702723307.52,117568082688/25,0.533333333333,False,True
9,5,5,2002,16,29,16,11972349753.728,15107498625.408,3135148871.68,1496543719216/125,1888437328176/125,78378721792/25,8817606201.6,44088031008/5,5682457329.92,142061433248/25,0.644444444444,False,True
9,5,5,2002,16,43,16,9327067893.248,15156485326.528,5829417433.28,1165883486656/125,1894560665816/125,145735435832/25,8817606201.6,44088031008/5,2988188768.32,74704719208/25,0.338888888889,False,True
9,5,5,2002,16,71,16,9425041295.488,14813578418.688,5388537123.2,1178130161936/125,1851697302336/125,26942685616/5,8817606201.6,44088031008/5,3429069078.4,17145345392/5,0.388888888889,False,True
9,5,5,2002,16,101,16,10502748720.128,15940272544.448,5437523824.32,1312843590016/125,1992534068056/125,135938095608/25,8817606201.6,44088031008/5,3380082377.28,84502059432/25,0.383333333333,False,True
9,5,5,2002,32,17,32,10649708823.488,15989259245.568,5339550422.08,1331213602936/125,1998657405696/125,133488760552/25,8817606201.6,44088031008/5,3478055779.52,86951394488/25,0.394444444444,False,True
9,5,5,2002,32,29,32,8935174284.288,15107498625.408,6172324341.12,1116896785536/125,1888437328176/125,154308108528/25,8817606201.6,44088031008/5,2645281860.48,66132046512/25,0.3,False,True
9,5,5,2002,32,43,32,9327067893.248,15793312441.088,6466244547.84,1165883486656/125,1974164055136/125,161656113696/25,8817606201.6,44088031008/5,2351361653.76,58784041344/25,0.266666666667,False,True
9,5,5,2002,32,71,32,8935174284.288,15548378935.488,6613204651.2,1116896785536/125,1943547366936/125,33066023256/5,8817606201.6,44088031008/5,2204401550.4,11022007752/5,0.25,False,True
9,5,5,2002,32,101,32,8298347169.728,15940272544.448,7641925374.72,1037293396216/125,1992534068056/125,191048134368/25,8817606201.6,44088031008/5,1175680826.88,29392020672/25,0.133333333333,False,True
9,5,5,2002,64,17,64,9180107789.888,15989259245.568,6809151455.68,1147513473736/125,1998657405696/125,170228786392/25,8817606201.6,44088031008/5,2008454745.92,50211368648/25,0.227777777778,False,True
9,5,5,2002,64,29,64,8788214180.928,15254458728.768,6466244547.84,1098526772616/125,1906807341096/125,161656113696/25,8817606201.6,44088031008/5,2351361653.76,58784041344/25,0.266666666667,False,True
9,5,5,2002,64,43,64,9327067893.248,15793312441.088,6466244547.84,1165883486656/125,1974164055136/125,161656113696/25,8817606201.6,44088031008/5,2351361653.76,58784041344/25,0.266666666667,False,True
9,5,5,2002,64,71,64,8935174284.288,15891285843.328,6956111559.04,1116896785536/125,1986410730416/125,173902788976/25,8817606201.6,44088031008/5,1861494642.56,46537366064/25,0.211111111111,False,True
9,5,5,2002,64,101,64,8298347169.728,15989259245.568,7690912075.84,1037293396216/125,1998657405696/125,192272801896/25,8817606201.6,44088031008/5,1126694125.76,28167353144/25,0.127777777778,False,True
9,5,5,2002,128,17,128,9180107789.888,15989259245.568,6809151455.68,1147513473736/125,1998657405696/125,170228786392/25,8817606201.6,44088031008/5,2008454745.92,50211368648/25,0.227777777778,False,True
9,5,5,2002,128,29,128,8788214180.928,15793312441.088,7005098260.16,1098526772616/125,1974164055136/125,175127456504/25,8817606201.6,44088031008/5,1812507941.44,45312698536/25,0.205555555556,False,True
9,5,5,2002,128,43,128,9327067893.248,15793312441.088,6466244547.84,1165883486656/125,1974164055136/125,161656113696/25,8817606201.6,44088031008/5,2351361653.76,58784041344/25,0.266666666667,False,True
9,5,5,2002,128,71,128,8935174284.288,15891285843.328,6956111559.04,1116896785536/125,1986410730416/125,173902788976/25,8817606201.6,44088031008/5,1861494642.56,46537366064/25,0.211111111111,False,True
9,5,5,2002,128,101,128,8298347169.728,15989259245.568,7690912075.84,1037293396216/125,1998657405696/125,192272801896/25,8817606201.6,44088031008/5,1126694125.76,28167353144/25,0.127777777778,False,True
9,5,5,2002,256,17,256,7171653043.968,15989259245.568,8817606201.6,896456630496/125,1998657405696/125,44088031008/5,8817606201.6,44088031008/5,0.0,0,0.0,True,True
9,5,5,2002,256,29,256,8739227479.808,15891285843.328,7152058363.52,1092403434976/125,1986410730416/125,178801459088/25,8817606201.6,44088031008/5,1665547838.08,41638695952/25,0.188888888889,False,True
9,5,5,2002,256,43,256,7906453560.768,15940272544.448,8033818983.68,988306695096/125,1992534068056/125,200845474592/25,8817606201.6,44088031008/5,783787217.92,19594680448/25,0.088888888889,False,True
9,5,5,2002,256,71,256,8788214180.928,15891285843.328,7103071662.4,1098526772616/125,1986410730416/125,35515358312/5,8817606201.6,44088031008/5,1714534539.2,8572672696/5,0.194444444444,False,True
9,5,5,2002,256,101,256,8298347169.728,15989259245.568,7690912075.84,1037293396216/125,1998657405696/125,192272801896/25,8817606201.6,44088031008/5,1126694125.76,28167353144/25,0.127777777778,False,True
9,5,5,2002,512,17,512,7171653043.968,15989259245.568,8817606201.6,896456630496/125,1998657405696/125,44088031008/5,8817606201.6,44088031008/5,0.0,0,0.0,True,True
9,5,5,2002,512,29,512,8298347169.728,15891285843.328,7592938673.6,1037293396216/125,1986410730416/125,37964693368/5,8817606201.6,44088031008/5,1224667528.0,1224667528,0.138888888889,False,True
9,5,5,2002,512,43,512,7906453560.768,15940272544.448,8033818983.68,988306695096/125,1992534068056/125,200845474592/25,8817606201.6,44088031008/5,783787217.92,19594680448/25,0.088888888889,False,True
9,5,5,2002,512,71,512,7563546652.928,15989259245.568,8425712592.64,945443331616/125,1998657405696/125,210642814816/25,8817606201.6,44088031008/5,391893608.96,9797340224/25,0.044444444444,False,True
9,5,5,2002,512,101,512,8298347169.728,15989259245.568,7690912075.84,1037293396216/125,1998657405696/125,192272801896/25,8817606201.6,44088031008/5,1126694125.76,28167353144/25,0.127777777778,False,True
9,5,5,2002,1024,17,1024,7171653043.968,15989259245.568,8817606201.6,896456630496/125,1998657405696/125,44088031008/5,8817606201.6,44088031008/5,0.0,0,0.0,True,True
9,5,5,2002,1024,29,1024,7171653043.968,15989259245.568,8817606201.6,896456630496/125,1998657405696/125,44088031008/5,8817606201.6,44088031008/5,0.0,0,0.0,True,True
9,5,5,2002,1024,43,1024,7563546652.928,15989259245.568,8425712592.64,945443331616/125,1998657405696/125,210642814816/25,8817606201.6,44088031008/5,391893608.96,9797340224/25,0.044444444444,False,True
9,5,5,2002,1024,71,1024,7563546652.928,15989259245.568,8425712592.64,945443331616/125,1998657405696/125,210642814816/25,8817606201.6,44088031008/5,391893608.96,9797340224/25,0.044444444444,False,True
9,5,5,2002,1024,101,1024,8298347169.728,15989259245.568,7690912075.84,1037293396216/125,1998657405696/125,192272801896/25,8817606201.6,44088031008/5,1126694125.76,28167353144/25,0.127777777778,False,True
