body_length,observation_count,cap_degree,unique_permutations,exhaustive_feasible,exact_rational_arithmetic_used,exhaustive_min,exhaustive_max,exhaustive_range,exhaustive_exact_min,exhaustive_exact_max,exhaustive_exact_range,sampled_permutations,sampled_min,sampled_max,sampled_range,sampled_exact_min,sampled_exact_max,sampled_exact_range,mismatch_if_both_available
5,3,5,56,True,True,159850650.96,235970008.56,76119357.6,3996266274/25,5899250214/25,380596788/5,56,159850650.96,235970008.56,76119357.6,3996266274/25,5899250214/25,380596788/5,False
5,4,1,126,True,True,63.0,103.0,40.0,63,103,40,126,63.0,103.0,40.0,63,103,40,False
5,4,2,126,True,True,2362.5,3862.5,1500.0,4725/2,7725/2,1500,126,2362.5,3862.5,1500.0,4725/2,7725/2,1500,False
5,4,3,126,True,True,103005.0,168405.0,65400.0,103005,168405,65400,126,103005.0,168405.0,65400.0,103005,168405,65400,False
5,4,4,126,True,True,5139949.5,8403409.5,3263460.0,10279899/2,16806819/2,3263460,126,5139949.5,8403409.5,3263460.0,10279899/2,16806819/2,3263460,False
5,4,5,126,True,True,289893151.8,473952295.8,184059144.0,1449465759/5,2369761479/5,184059144,126,289893151.8,473952295.8,184059144.0,1449465759/5,2369761479/5,184059144,False
5,5,1,252,True,True,63.0,113.0,50.0,63,113,50,252,63.0,113.0,50.0,63,113,50,False
5,5,2,252,True,True,2677.5,4802.5,2125.0,5355/2,9605/2,2125,252,2677.5,4802.5,2125.0,5355/2,9605/2,2125,False
5,5,3,252,True,True,132804.0,238204.0,105400.0,132804,238204,105400,252,132804.0,238204.0,105400.0,132804,238204,105400,False
5,5,4,252,True,True,7556547.6,13553807.6,5997260.0,37782738/5,67769038/5,5997260,252,7556547.6,13553807.6,5997260.0,37782738/5,67769038/5,5997260,False
5,5,5,252,True,True,486641665.44,872865209.44,386223544.0,12166041636/25,21821630236/25,386223544,252,486641665.44,872865209.44,386223544.0,12166041636/25,21821630236/25,386223544,False
6,0,1,1,True,True,80.5,80.5,0.0,161/2,161/2,0,1,80.5,80.5,0.0,161/2,161/2,0,False
6,0,2,1,True,True,1577.8,1577.8,0.0,7889/5,7889/5,0,1,1577.8,1577.8,0.0,7889/5,7889/5,0,False
6,0,3,1,True,True,34553.82,34553.82,0.0,1727691/50,1727691/50,0,1,34553.82,34553.82,0.0,1727691/50,1727691/50,0,False
6,0,4,1,True,True,843113.208,843113.208,0.0,105389151/125,105389151/125,0,1,843113.208,843113.208,0.0,105389151/125,105389151/125,0,False
6,0,5,1,True,True,22848367.9368,22848367.9368,0.0,28560459921/1250,28560459921/1250,0,1,22848367.9368,22848367.9368,0.0,28560459921/1250,28560459921/1250,0,False
6,1,1,7,True,True,80.5,95.5,15.0,161/2,191/2,15,7,80.5,95.5,15.0,161/2,191/2,15,False
6,1,2,7,True,True,2060.8,2444.8,384.0,10304/5,12224/5,384,7,2060.8,2444.8,384.0,10304/5,12224/5,384,False
6,1,3,7,True,True,59557.12,70654.72,11097.6,1488928/25,1766368/25,55488/5,7,59557.12,70654.72,11097.6,1488928/25,1766368/25,55488/5,False
6,1,4,7,True,True,1929650.688,2289212.928,359562.24,241206336/125,286151616/125,8989056/25,7,1929650.688,2289212.928,359562.24,241206336/125,286151616/125,8989056/25,False
6,1,5,7,True,True,69660389.8368,82640586.7008,12980196.864,43537743648/625,51650366688/625,1622524608/125,7,69660389.8368,82640586.7008,12980196.864,43537743648/625,51650366688/625,1622524608/125,False
6,2,1,28,True,True,80.5,110.5,30.0,161/2,221/2,30,28,80.5,110.5,30.0,161/2,221/2,30,False
6,2,2,28,True,True,2543.8,3491.8,948.0,12719/5,17459/5,948,28,2543.8,3491.8,948.0,12719/5,17459/5,948,False
