body_length,observation_count,cap_degree,drift_schedule,schedule_beta,unique_permutations,sampled_permutations,seed_count,exhaustive_enumeration_used,exact_rational_arithmetic_used,executions,mean_output,std_dev,range,coefficient_of_variation,min_output,max_output,exact_min_output,exact_max_output,exact_range
3,8,7,constant,0,165,165,0,True,True,165,2390317686530.3735,259936171425.88995,1158941908620.787,0.108745449565,1617689747449.8489,2776631656070.636,2022112184312311/1250,694157914017659/250,724338692887992/625
3,8,8,constant,0,165,165,0,True,True,165,236880482735160.03,25759674588305.69,114851143144320.02,0.108745449565,160313053972280.03,275164197116600.03,2003913174653500201/12500,687910492791500069/2500,358909822326000036/3125
3,9,1,constant,0,220,220,0,True,True,220,51.5,5.93803620506,27.0,0.115301673885,33.5,60.5,67/2,121/2,27
3,9,2,constant,0,220,220,0,True,True,220,2106.35,242.865680786952,1104.3,0.115301673885,1370.15,2474.45,27403/20,49489/20,11043/10
3,9,3,constant,0,220,220,0,True,True,220,108687.66,12531.869128606715,56981.88,0.115301673885,70699.74,127681.62,3534987/50,6384081/50,1424547/25
3,9,4,constant,0,220,220,0,True,True,220,6792978.75,783241.8205379196,3561367.5,0.115301673885,4418733.75,7980101.25,17674935/4,31920405/4,7122735/2
3,9,5,constant,0,220,220,0,True,True,220,499963236.0,57646597.99159089,262116648.0,0.115301673885,325218804.0,587335452.0,325218804,587335452,262116648
3,9,6,constant,0,220,220,0,True,True,220,42446878736.4,4894196169.486067,22253703415.2,0.115301673885,27611076459.6,49864779874.8,138055382298/5,249323899374/5,111268517076/5
3,9,7,constant,0,220,220,0,True,True,220,4091879110188.96,471800510738.4568,2145257009225.28,0.115301673885,2661707770705.44,4806964779930.72,66542694267636/25,120174119498268/25,53631425230632/25
3,9,8,constant,0,220,220,0,True,True,220,442332131811426.56,51001635210827.18,231902282697252.78,0.115301673885,287730610013258.06,519632892710510.8,35966326251657258/125,64954111588813854/125,28987785337156596/125
3,10,1,constant,0,286,286,0,True,True,286,53.5,6.492100462951,30.0,0.121347672205,33.5,63.5,67/2,127/2,30
3,10,2,constant,0,286,286,0,True,True,286,2348.65,285.003210323563,1317.0,0.121347672205,1470.65,2787.65,29413/20,55753/20,1317
3,10,3,constant,0,286,286,0,True,True,286,130584.94,15846.178493990079,73225.2,0.121347672205,81768.14,154993.34,4088407/50,7749667/50,366126/5
3,10,4,constant,0,286,286,0,True,True,286,8814483.45,1069617.0483443302,4942701.0,0.121347672205,5519349.45,10462050.45,110386989/20,209241009/20,4942701
3,10,5,constant,0,286,286,0,True,True,286,701632882.62,85141517.0482087,393438999.6,0.121347672205,439340216.22,832779215.82,21967010811/50,41638960791/50,1967194998/5
3,10,6,constant,0,286,286,0,True,True,286,64480061912.778,7824505416.730379,36157044063.24,0.121347672205,40375365870.618,76532409933.858,20187682935309/500,38266204966929/500,903926101581/25
3,10,7,constant,0,286,286,0,True,True,286,6731718463694.023,816878365506.6515,3774795400202.256,0.121347672205,4215188196892.519,7989983597094.775,5268985246115649/1250,9987479496368469/1250,471849425025282/125
3,10,8,constant,0,286,286,0,True,True,286,788284232098570.1,95656456600828.89,442028541363684.2,0.121347672205,493598537856114.0,935627079219798.1,6169981723201424979/12500,11695338490247477199/12500,276267838352302611/625
5,0,1,constant,0,1,1,0,True,True,1,63.0,0.0,0.0,0.0,63.0,63.0,63,63,0
5,0,2,constant,0,1,1,0,True,True,1,1102.5,0.0,0.0,0.0,1102.5,1102.5,2205/2,2205/2,0
5,0,3,constant,0,1,1,0,True,True,1,21609.0,0.0,0.0,0.0,21609.0,21609.0,21609,21609,0
5,0,4,constant,0,1,1,0,True,True,1,473237.1,0.0,0.0,0.0,473237.1,473237.1,4732371/10,4732371/10,0
5,0,5,constant,0,1,1,0,True,True,1,11546985.24,0.0,0.0,0.0,11546985.24,11546985.24,288674631/25,288674631/25,0
5,0,6,constant,0,1,1,0,True,True,1,312923300.004,0.0,0.0,0.0,312923300.004,312923300.004,78230825001/250,78230825001/250,0
5,0,7,constant,0,1,1,0,True,True,1,9387699000.12,0.0,0.0,0.0,9387699000.12,9387699000.12,234692475003/25,234692475003/25,0
5,0,8,constant,0,1,1,0,True,True,1,310732836903.972,0.0,0.0,0.0,310732836903.972,310732836903.972,77683209225993/250,77683209225993/250,0
5,1,1,constant,0,6,6,0,True,True,6,69.666666666667,3.983298465677,10.0,0.057176533,63.0,73.0,63,73,10
5,1,2,constant,0,6,6,0,True,True,6,1567.5,89.624215477738,225.0,0.057176533,1417.5,1642.5,2835/2,3285/2,225
5,1,3,constant,0,6,6,0,True,True,6,40128.0,2294.379916230091,5760.0,0.057176533,36288.0,42048.0,36288,42048,5760
5,1,4,constant,0,6,6,0,True,True,6,1159699.2,66307.57957904963,166464.0,0.057176533,1048723.2,1215187.2,5243616/5,6075936/5,166464
5,1,5,constant,0,6,6,0,True,True,6,37574254.08,2148365.5783612095,5393433.6,0.057176533,33978631.68,39372065.28,849465792/25,984301632/25,26967168/5
5,1,6,constant,0,6,6,0,True,True,6,1356430572.288,77555997.37883963,194702952.96,0.057176533,1226628603.648,1421331556.608,153328575456/125,177666444576/125,4867573824/25
5,1,7,constant,0,6,6,0,True,True,6,54257222891.52,3102239895.1535854,7788118118.4,0.057176533,49065144145.92,56853262264.32,1226628603648/25,1421331556608/25,38940590592/5
5,1,8,constant,0,6,6,0,True,True,6,2392743529516.032,136808779376.27316,343456009021.44,0.057176533,2163772856835.072,2507228865856.512,270471607104384/125,313403608232064/125,8586400225536/25
5,2,1,constant,0,21,21,0,True,True,21,76.333333333333,5.633234713141,20.0,0.07379783467,63.0,83.0,63,83,20
5,2,2,constant,0,21,21,0,True,True,21,2099.166666666667,154.913954611369,550.0,0.07379783467,1732.5,2282.5,3465/2,4565/2,550
5,2,3,constant,0,21,21,0,True,True,21,66333.66666666667,4895.280965719265,17380.0,0.07379783467,54747.0,72127.0,54747,72127,17380
5,2,4,constant,0,21,21,0,True,True,21,2381378.6333333333,175740.58666932158,623942.0,0.07379783467,1965417.3,2589359.3,19654173/10,25893593/10,623942
5,2,5,constant,0,21,21,0,True,True,21,96207696.78666666,7099919.701440592,25207256.8,0.07379783467,79402858.92,104610115.72,1985071473/25,2615252893/25,126036284/5
5,2,6,constant,0,21,21,0,True,True,21,4338967125.078667,320206378.5349707,1136847281.68,0.07379783467,3581068937.292,4717916218.972,895267234323/250,1179479054743/250,28421182042/25
5,2,7,constant,0,21,21,0,True,True,21,216948356253.93332,16010318926.748535,56842364084.0,0.07379783467,179053446864.6,235895810948.6,895267234323/5,1179479054743/5,56842364084
5,2,8,constant,0,21,21,0,True,True,21,11953854429591.727,882168572863.8439,3132014261028.4,0.07379783467,9865844922239.46,12997859183267.86,493292246111973/50,649892959163393/50,15660071305142/5
5,3,1,constant,0,56,56,0,True,True,56,83.0,7.206058057445,30.0,0.086819976596,63.0,93.0,63,93,30
5,3,2,constant,0,56,56,0,True,True,56,2697.5,234.196886866973,975.0,0.086819976596,2047.5,3022.5,4095/2,6045/2,975
5,3,3,constant,0,56,56,0,True,True,56,101426.0,8805.80294619819,36660.0,0.086819976596,76986.0,113646.0,76986,113646,36660
5,3,4,constant,0,56,56,0,True,True,56,4351175.4,377768.94639190234,1572714.0,0.086819976596,3302699.4,4875413.4,16513497/5,24377067/5,1572714
5,3,5,constant,0,56,56,0,True,True,56,210596889.36,18284017.005368073,76119357.6,0.086819976596,159850650.96,235970008.56,3996266274/25,5899250214/25,380596788/5
5,3,6,constant,0,56,56,0,True,True,56,11393291714.376,989165319.9904128,4118057246.16,0.086819976596,8647920216.936,12765977463.096,1080990027117/125,1595747182887/125,102951431154/25
5,3,7,constant,0,56,56,0,True,True,56,683597502862.56,59349919199.42477,247083434769.6,0.086819976596,518875213016.16,765958647785.76,12971880325404/25,19148966194644/25,1235417173848/5
5,3,8,constant,0,56,56,0,True,True,56,45185794939215.22,3923029659081.977,16332215038270.56,0.086819976596,34297651580368.176,50629866618638.734,4287206447546022/125,6328733327329842/125,408305375956764/25
5,4,1,constant,0,126,126,0,True,True,126,89.666666666667,8.726969691709,40.0,0.097326799536,63.0,103.0,63,103,40
5,4,2,constant,0,126,126,0,True,True,126,3362.5,327.261363439071,1500.0,0.097326799536,2362.5,3862.5,4725/2,7725/2,1500
5,4,3,constant,0,126,126,0,True,True,126,146605.0,14268.595445943514,65400.0,0.097326799536,103005.0,168405.0,103005,168405,65400
5,4,4,constant,0,126,126,0,True,True,126,7315589.5,712002.9127525814,3263460.0,0.097326799536,5139949.5,8403409.5,10279899/2,16806819/2,3263460
5,4,5,constant,0,126,126,0,True,True,126,412599247.8,40156964.27924559,184059144.0,0.097326799536,289893151.8,473952295.8,1449465759/5,2369761479/5,184059144
5,4,6,constant,0,126,126,0,True,True,126,26035012536.18,2533904446.0203967,11614131986.4,0.097326799536,18292257878.58,29906389864.98,914612893929/50,1495319493249/50,58070659932/5
5,4,7,constant,0,126,126,0,True,True,126,1822450877532.6,177373311221.42776,812989239048.0,0.097326799536,1280458051500.6,2093447290548.6,6402290257503/5,10467236452743/5,812989239048
5,4,8,constant,0,126,126,0,True,True,126,140510962657763.45,13675482295172.08,62681470330600.8,0.097326799536,98723315770696.27,161404786101297.06,4936165788534813/50,8070239305064853/50,313407351653004/5
5,5,1,constant,0,252,252,0,True,True,252,96.333333333333,10.212873682007,50.0,0.106015989779,63.0,113.0,63,113,50
5,5,2,constant,0,252,252,0,True,True,252,4094.166666666667,434.047131485277,2125.0,0.106015989779,2677.5,4802.5,5355/2,9605/2,2125
5,5,3,constant,0,252,252,0,True,True,252,203070.66666666666,21528.737721669753,105400.0,0.106015989779,132804.0,238204.0,132804,238204,105400
5,5,4,constant,0,252,252,0,True,True,252,11554720.933333334,1224985.176363009,5997260.0,0.106015989779,7556547.6,13553807.6,37782738/5,67769038/5,5997260
5,5,5,constant,0,252,252,0,True,True,252,744124028.1066667,78889045.35777777,386223544.0,0.106015989779,486641665.44,872865209.44,12166041636/25,21821630236/25,386223544
5,5,6,constant,0,252,252,0,True,True,252,53651342426.49067,5687900170.295778,27846717522.4,0.106015989779,35086864078.224,62933581600.624,4385858009778/125,7866697700078/125,139233587612/5
5,5,7,constant,0,252,252,0,True,True,252,4292107394119.2534,455032013623.66223,2227737401792.0,0.106015989779,2806949126257.92,5034686528049.92,70173728156448/25,125867163201248/25,2227737401792
5,5,8,constant,0,252,252,0,True,True,252,378134661421906.2,40088320400244.64,196263665097875.2,0.106015989779,247292218023322.75,443555883121197.94,30911527252915344/125,55444485390149744/125,981318325489376/5
5,6,1,constant,0,462,462,0,True,True,462,103.0,11.674545423527,60.0,0.113345101199,63.0,123.0,63,123,60
5,6,2,constant,0,462,462,0,True,True,462,4892.5,554.540907617516,2850.0,0.113345101199,2992.5,5842.5,5985/2,11685/2,2850
5,6,3,constant,0,462,462,0,True,True,462,272023.0,30832.474463533876,158460.0,0.113345101199,166383.0,324843.0,166383,324843,158460
5,6,4,constant,0,462,462,0,True,True,462,17382269.7,1970195.1182198147,10125594.0,0.113345101199,10631873.7,20757467.7,106318737/10,207574677/10,10125594
5,6,5,constant,0,462,462,0,True,True,462,1258476326.28,142642126.55911458,733093005.6,0.113345101199,769747655.88,1502840661.48,19243691397/25,37571016537/25,3665465028/5
5,6,6,constant,0,462,462,0,True,True,462,102062430061.308,11568276463.944193,59453842754.16,0.113345101199,62426534891.868,121880377646.028,15606633722967/250,30470094411507/250,1486346068854/25
5,6,7,constant,0,462,462,0,True,True,462,9185618705517.72,1041144881754.9773,5350845847874.4,0.113345101199,5618388140268.12,10969233988142.52,140459703506703/25,274230849703563/25,26754229239372/5
5,6,8,constant,0,462,462,0,True,True,462,910294813716806.0,103177457781918.25,530268823524353.06,0.113345101199,556782264700570.7,1087051088224923.8,139195566175142673/250,271762772056230933/250,13256720588108826/25
5,7,1,constant,0,792,792,0,True,True,792,109.666666666667,13.11892505849,70.0,0.11962545646,63.0,133.0,63,133,70
5,7,2,constant,0,792,792,0,True,True,792,5757.5,688.743565570702,3675.0,0.11962545646,3307.5,6982.5,6615/2,13965/2,3675
5,7,3,constant,0,792,792,0,True,True,792,354662.0,42426.60363915526,226380.0,0.11962545646,203742.0,430122.0,203742,430122,226380
5,7,4,constant,0,792,792,0,True,True,792,25145535.8,3008046.198016108,16050342.0,0.11962545646,14445307.8,30495649.8,72226539/5,152478249/5,16050342
5,7,5,constant,0,792,792,0,True,True,792,2021701078.32,241846914.32049507,1290447496.8,0.11962545646,1161402747.12,2451850243.92,29035068678/25,61296256098/25,6452237484/5
5,7,6,constant,0,792,792,0,True,True,792,182155267156.632,21790406980.276608,116269319461.68,0.11962545646,104642387515.512,220911706977.192,13080298439439/125,27613963372149/125,2906732986542/25
5,7,7,constant,0,792,792,0,True,True,792,18215526715663.2,2179040698027.6606,11626931946168.0,0.11962545646,10464238751551.2,22091170697719.2,52321193757756/5,110455853488596/5,11626931946168
5,7,8,constant,0,792,792,0,True,True,792,2005529491394518.2,239912380852845.4,1280125207273096.8,0.11962545646,1152112686545787.0,2432237893818884.0,28802817163644678/25,60805947345472098/25,6400626036365484/5
5,8,1,constant,0,1287,1287,0,True,True,1287,116.333333333333,14.5506034998,80.0,0.125076820915,63.0,143.0,63,143,80
5,8,2,constant,0,1287,1287,0,True,True,1287,6689.166666666667,836.659701238512,4600.0,0.125076820915,3622.5,8222.5,7245/2,16445/2,4600
5,8,3,constant,0,1287,1287,0,True,True,1287,452187.6666666667,56558.19580372342,310960.0,0.125076820915,244881.0,555841.0,244881,555841,310960
5,8,4,constant,0,1287,1287,0,True,True,1287,35225419.233333334,4405883.453110054,24223784.0,0.125076820915,19076229.9,43300013.9,190762299/10,433000139/10,24223784
5,8,5,constant,0,1287,1287,0,True,True,1287,3113927060.2266665,389480097.2549288,2141382505.6,0.125076820915,1686338723.16,3827721228.76,42158468079/25,95693030719/25,10706912528/5
5,8,6,constant,0,1287,1287,0,True,True,1287,308590171668.46265,38597477637.96345,212211006304.96,0.125076820915,167116167465.156,379327173770.116,41779041866289/250,94831793442529/250,5305275157624/25
5,8,7,constant,0,1287,1287,0,True,True,1287,33944918883530.895,4245722540175.979,23343210693545.6,0.125076820915,18382778421167.16,41725989114712.76,459569460529179/25,1043149727867819/25,116716053467728/5
5,8,8,constant,0,1287,1287,0,True,True,1287,4110729676795591.0,514156999615311.0,2826862814988372.0,0.125076820915,2226154466803343.0,5053017281791715.0,556538616700835769/250,1263254320447928809/250,70671570374709304/25
5,9,1,constant,0,2002,299,5,False,True,299,123.628762541806,15.500789397753,82.0,0.125381740293,70.0,152.0,70,152,82
5,9,2,constant,0,2002,299,5,False,True,299,7726.797658862876,968.799337359562,5125.0,0.125381740293,4375.0,9500.0,4375,9500,5125
5,9,3,constant,0,2002,299,5,False,True,299,568692.3076923077,71303.63122966375,377200.0,0.125381740293,322000.0,699200.0,322000,699200,377200
5,9,4,constant,0,2002,299,5,False,True,299,48281976.92307692,6053678.291398453,32024280.0,0.125381740293,27337800.0,59362080.0,27337800,59362080,32024280
5,9,5,constant,0,2002,299,5,False,True,299,4654382575.384615,583574587.2908108,3087140592.0,0.125381740293,2635363920.0,5722504512.0,2635363920,5722504512,3087140592
