ablation,alpha_fit,beta,config,degree,entropy_increment,experiment,gamma_collapse,initial_entropy,inspects,legacy_nondecreasing,log_range,marginal_std,max,mean,min,n,nonlinearity,r2_alpha_fit,r2_e1,r2_gamma,range,schedule,sle_e1,source,std,steps
,,0.1,e4_exponential_decay_beta_0p1_steps_50,,,E4,2.953902,,1,,12.168351,,632622.9037,568401.3437,440026.7787,100000,quadratic,,,0.999969,192596.125,exponential_decay,,E4,58840.5176,50
,,0.2,e4_exponential_decay_beta_0p2_steps_6,,,E4,2.885828,,1,,5.881667,,2231.9986,2112.6151,1873.5922,100000,quadratic,,,0.999951,358.4064,exponential_decay,,E4,126.2817,6
,,0.2,e4_exponential_decay_beta_0p2_steps_12,,,E4,2.885828,,1,,7.851376,,10677.6146,9820.1414,8108.347,100000,quadratic,,,0.999951,2569.2676,exponential_decay,,E4,837.1882,12
,,0.2,e4_exponential_decay_beta_0p2_steps_20,,,E4,2.885828,,1,,9.322319,,38598.5517,34871.3119,27413.6583,100000,quadratic,,,0.999951,11184.8935,exponential_decay,,E4,3527.0343,20
,,0.2,e4_exponential_decay_beta_0p2_steps_50,,,E4,2.885828,,1,,11.997899,,462982.8472,408918.7519,300569.5878,100000,quadratic,,,0.999951,162413.2594,exponential_decay,,E4,49477.2255,50
,,0.5,e4_exponential_decay_beta_0p5_steps_6,,,E4,2.850619,,1,,5.838263,,2101.5464,1986.8747,1758.3637,100000,quadratic,,,0.999887,343.1827,exponential_decay,,E4,121.2237,6
,,0.5,e4_exponential_decay_beta_0p5_steps_12,,,E4,2.850619,,1,,7.768865,,9376.5006,8586.4898,7010.7169,100000,quadratic,,,0.999887,2365.7837,exponential_decay,,E4,770.8353,12
,,0.5,e4_exponential_decay_beta_0p5_steps_20,,,E4,2.850619,,1,,9.218878,,32310.726,28934.564,22224.9849,100000,quadratic,,,0.999887,10085.7412,exponential_decay,,E4,3173.0958,20
,,0.5,e4_exponential_decay_beta_0p5_steps_50,,,E4,2.850619,,1,,11.878899,,369393.0106,321366.716,225201.3594,100000,quadratic,,,0.999887,144191.6513,exponential_decay,,E4,43866.4378,50
,,1.0,e4_exponential_decay_beta_1p0_steps_6,,,E4,2.84221,,1,,5.814801,,2029.6943,1918.3386,1694.4695,100000,quadratic,,,0.999871,335.2248,exponential_decay,,E4,118.3032,6
,,1.0,e4_exponential_decay_beta_1p0_steps_12,,,E4,2.84221,,1,,7.736347,,8875.4078,8110.4392,6585.3155,100000,quadratic,,,0.999871,2290.0923,exponential_decay,,E4,745.5955,12
,,1.0,e4_exponential_decay_beta_1p0_steps_20,,,E4,2.84221,,1,,9.182059,,30238.0999,26997.8386,20516.9488,100000,quadratic,,,0.999871,9721.1511,exponential_decay,,E4,3053.991,20
,,1.0,e4_exponential_decay_beta_1p0_steps_50,,,E4,2.84221,,1,,11.837286,,341127.6946,295088.7381,202813.0872,100000,quadratic,,,0.999871,138314.6073,exponential_decay,,E4,42146.8685,50
,3.272676,,e5_steps_3,,,E5,,,1,True,3.925926,,616.85,599.8723,566.15,100000,quadratic,0.995774,,,50.7,,,E5,20.7277,3
,3.272676,,e5_steps_6,,,E5,,,1,True,5.950643,115.144,2444.8,2316.1956,2060.8,100000,quadratic,0.995774,,,384.0,,,E5,135.8717,6
,3.272676,,e5_steps_9,,,E5,,,1,True,7.169812,299.3095,6584.64,6151.1822,5285.04,100000,quadratic,0.995774,,,1299.6,,,E5,435.1812,9
,3.272676,,e5_steps_12,,,E5,,,1,True,8.069155,607.7141,14645.84,13575.6119,11451.44,100000,quadratic,0.995774,,,3194.4,,,E5,1042.8953,12
,3.272676,,e5_steps_15,,,E5,,,1,True,8.789127,1055.274,28843.75,26662.2175,22281.25,100000,quadratic,0.995774,,,6562.5,,,E5,2098.1693,15
,3.272676,,e5_steps_20,,,E5,,,1,True,9.746834,3290.0755,74430.0,68700.8853,57330.0,100000,quadratic,0.995774,,,17100.0,,,E5,5388.2448,20
,3.272676,,e5_steps_25,,,E5,,,1,True,10.511894,6056.1304,164150.0,151902.6325,127400.0,100000,quadratic,0.995774,,,36750.0,,,E5,11444.3752,25
,3.272676,,e5_steps_30,,,E5,,,1,True,11.15052,10096.2984,324080.0,300841.6944,254480.0,100000,quadratic,0.995774,,,69600.0,,,E5,21540.6736,30
,3.272676,,e5_steps_40,,,E5,,,1,True,12.180755,38180.9039,1003500.0,938805.93,808500.0,100000,quadratic,0.995774,,,195000.0,,,E5,59721.5775,40
,3.272676,,e5_steps_50,,,E5,,,1,True,12.9968,74730.0107,2517300.0,2370162.7224,2076300.0,100000,quadratic,0.995774,,,441000.0,,,E5,134451.5882,50
,3.272676,,e5_steps_75,,,E5,,,1,True,14.511123,470114.9406,14509606.25,13844471.9263,12504668.75,100000,quadratic,0.995774,,,2004937.5,,,E5,604566.5288,75
,3.272676,,e5_steps_100,,,E5,,,1,True,15.605518,1204605.7286,52919350.0,50916013.258,46929850.0,100000,quadratic,0.995774,,,5989500.0,,,E5,1809172.2574,100
